ID,Alternative Uses
1iqEw1mh,wall decoration / paperweight / pen holder / wall / decider / boat ballast / leash holder / game /
1Pk6vsdc,use it to prop up a table / use it as a weapon to hit someone / use it to do excercise reps with if you don't have weights / use it to break a window / use it to keep a door shut / use it to prop a picture up against a wall / use it to cover a spot on a carpet / use it to prop up a couch from underneath / use it to drop and make a big noise to wake someone up /
1wDA8K0i,paper weight / step stool / Barbie bed / rectangle tracing template / weapon / put in toilet tank to save water / weight to lift / pen holder / paint for decoration / planter /
2i6a0RJF,for building constructions / for moulding / for making a flower face / for making a fence /
3aha6xp3,paperweight / pizza stone / heat and put on stomach for cramps / step stool / aerobics / free hand weight / self-defence / hollow out and plant flowers in it / door stop /
4jiHnbUp,paperweight / weapon / put in garden / crafts / paint on / cook with /
4OYYt6IN,microdermabrasion / murder weapon / doorstep / hideaway key / seed starter / workout weight /
54Ht6qgt,fashion straps and wheels for a roller skate / car stopper / to make a castle / to use as a texture paint brush / smash for confetti / drill a hole stuff with candy and use it as a pinta / as a guard dog stopper / to eat if you have pica / to help level a table / derail a train / snow shoes / heat it up and cook an egg on it on a camp fire /
5DmGh9OK,doorstep / paperweight / ballast / anchor / weapon / landscaping / wall /
5GqGIEFc,a paperweight / to write on the sidewalk / to use the red particles to put on your cheeks / to hit someone on the head / to tie your dogs leash to / to use as a doorstep / to juggle with / to decorate an interior wall with / to lift the head of bed if you have reflux / to carve something into the wall / to break a window /
6i6C5JY0,rolling pin / bookmark / holistic therapy crystal / hat / doorstep / door opener / ceramic sample / build a ziggurat / write on it and air mail it / to get frisbee out of tree / pet brick / recipe stand / weighted blanket / fetch toy for kids /
6iOWHlt6,Paint it and make into a decoration / Heat the brick to warm a pan over / Build a stove / Use as a hammer / Use as a way to sand down rough edges on wood or metal / Use as a counterbalance with a pulley / Use as an anchor while tied to a rope / Use as the base of a chair / Use as a disturbance in a water fountain or pond /
6ObI9a3U,use as dumb-bell / as a coaster / use as pillow /
6VEHgcgb,build a brick path / create planters / make a garden bench / build a brick waterfall / build a birdbath / build d brick fire pil / make brick books /
825iLiQg,flower planter / bird seed holder / create a sundial / paint and use as decoration / use as a balance weight in a grandfather clock / make an obstacle course / make a ladybug house / dip in paint and make an abstract painting on a large canvas / utensil holder /
8tbjZrxR,PENCIL HOLDER / PHOTO STAND / CORD separator / GARDEN WALL / BOOK ENDS / PROP A WINDOW OPEN / PAPERWEIGHT / SHOELACE HOLDER / DECORATION / PUT UNDER BED FRAME TO MAKE HIGHER /
92hJbjbJ,grind pepper / build a firelit / use to pot plants / create a game / crack open nuts / door stop / border a plant area / hold down a planter /
9zkKGiIO,grind up for facial grit / throw it at burglar / heat up to cook egg on it / heat up to put on sore knee / booked / small dumb-bell / small step ladder / garden hedge / tire check / tape to bottom of foot for weights / paperweight / draw on it /
Ae03nGkd,Book end / Anchor / Weapon / Fish tank decoration / Paper weight / step stool / booster seat / Fix uneven leg of chair / Speaker stand / Record as percussion / Paint as decoration /
Aibgcwta,door stop / window holder / booked / heat source /
aiQDNnS1,It can be used as a chair / for makin whoa / wall attainment / can place items on / can be used for decor / for workout /
AL2v5msW,weapon / paperweight / door holder / foot step / booked /
ApnQIKXt,paper weight / book ends / planter / pencil holder / door stop /
aQslyU4N,door stop / paper weight / to level a chair leg / to level a table / weapon / meat tenderizer /
