ID,Alternative Uses
0Wv0i16N,use it as a mold for creating circular object / use to close a container / use to scare off an animal with bursting noise / make small bubbles / twist into a rabbit / give it to a child to play / rub it on sand to make flat surface / use to spread confetti / put some water and use as water balloon / put some sand and play with the noise /
1iCU2QmW,take a pin and pop it using the plastic to make smaller balloons and pop them / take the balloon and fill it with helium then let it go and see how far it goes / fill several balloons with helium and make a bouquet / fill the balloon and see how long it takes to pop if yu sit on it / try to blow it up with your nose /
2CLBZyT3,make a bowl mold / cut and paste them / glue hot air balloons to make a string of them /
2l6NOT6p,to deflate and use as a tie / to use to hold something in the air / To use for static electricity / to play catch with / to decorate a poster / to stuff inside a craft to inflate it ex snowman / to use as a makeup sponge /
3U6xOhXV,use as ice blocks in a cooler / use as a drums / put lights in them and use them as lamps /
48DSufSQ,magnet / mini air balloon / whoopie cushion / mold for chocolate / coin holder / bird seed feeder / mittens /
5CJmQcoS,static for hair / mold for chocolate bombs / scare people from behind when popped / fake a pregnancy by stuffing in belly / hot air balloon for barbie /
5hrcoYFb,Make pom poms for cheerleading / Use as drums / colourful art attached to a vase / Freeze water inside and use as a cold compress /
6F8be1DQ,as a container to hold liquid like water / as a seal of some sort like for a leaky pipe / used under a lid to keep a container air tight / use to create a balloon animal / to hold some other gas other than air / as a weight if filled with sand /
7C4QmdR5,attach a camera and take high altitude pictures / send a message long distances / use as long distance signal / use as punching bag to improve accuracy not strength / measure air pressure by seeing how long it take to reach ceiling / use as alarm by popping / put lettuce inside without letting helium out to preserve food /
7gLPeNvy,to decorate with / to inhale the helium and make a funny voice / to celebrate a birthday / to make someone happy / to make a funny face on / a prize at a carnival fair / to reward someone with good behavior / to advertise your business / to mark on the mailbox where someone lives / to play with / to throw darts at during a game /
83B7sVt3,water fight / fill it with helium to talk funny / tie it to your car so you can find it in the parking lot / tie it to your child so you can keep track of them / tie it to a chair at a party to mark who sits where / tie it to a vase with flowers / give as a gift to a stranger /
8kN3iLw2,Use it as target practice / Tie it to a small animal such as an angle lizard and then watch it fly to the sky / Fill it with paint and throw it against a wall to quickly cover a portion of the wall with that paint / Put small objects in it and use it as a storage bag /
9F61AuF9,cut balloons and add to the bottom of cups for non slip effect / add balloons inside box to add a surprise element / freeze water balloons to keep food and drinks cold / add balloons to top of cans to make drums for kids / add confetti inside balloon for more creativity / add a net on top balloon and basket to make a mini air balloon /
9MSJXmgK,chocolate bowl mold / hide drugs / water grenades / fill with paint and throw at canvas to paint / deliver messages / turn into hot air balloon for a doll / gender reveal party /
AzETpMqz,propel a stick that its tied to / science experiment showing kids what friction is / measure wind direction / make fart noises / let a kid play with it / use it as a dart target /
CYm8YuOS,make a mold with it / tie it to something and make it float / put a note inside of it / use it for a craft project / pop it to make a noise to wake someone up / give it as a gift / draw a face on it and use it as a puppet / use it as a maker ti find your way in the woods /
d5tLcUi1,balloon sword / Use to shape chocolate / Put paint in balloon and make art by popping balloon / Fill with water freeze and use a balloon ice / Use to lift house /
D9R9pfOE,put water in and throw at someone / fill with sand and use to hold things down / fill with concrete and make a hard ball for garden / cover with paper machine and make art / tape to window flattened out for decoration / stretch around vase to change color of vase temporarily / fill with candy and give as gift / fill with lavender flowers and hand in closet or drawers / decorate and hand on car mirror /
