ID,Alternative Uses
0Wv0i16N,Decorate and use to show / Drill a hole and use as pendant / Break it to share with a friend as a gift / Use to scratch on concrete floor / Engrave some ones name and give as gift / Use it as a lucky charm / Use to play throw into a cup game / Decorate and place in a indoor pot /
1iCU2QmW,use it as a marker for a game / glue several of them together to make a design / take the marble and shoot it across the room to see how far it would go / cut it in half and use the pieces to decorate a shirt / make it into the center of a flower using colored paper for the petals /
2CLBZyT3,decorate an bowling ball for a piece of art / to make a necklace / to decorate a bird bath /
2l6NOT6p,Drill a hole in it and make it into a necklace pendant / Grind it down and use it a glass sand for a painting / Use it as a toy for a cat to play with / Use it as a paperweight /
3U6xOhXV,make a necklace / massager / christmas ornament / stained glass window /
48DSufSQ,mini cannonball / leveller to see if something is evenly levelled / centrepiece for a necklace / designer earring /
5CJmQcoS,replace a large dolls eye / decorate the bottom of a vase / bowling ball for Barbie / used as a crystal ball for small toy figures / makeshift wheel for toy car /
5hrcoYFb,Put a bunch in a sock for a weapon / Put a bunch in a pillow case and use as a dumbly for a workout / Throw them on a sidewalk as a trip hazard / Create art / play catch /
6F8be1DQ,as a toy for a child / as a drain stopper / as a part of a necklace / as an earring / has an object to decorate a fish bowl / as an object to throw between people in a game /
7C4QmdR5,ball bearing / water level indicator / bullet for a slingshot / laundry straightened in dryer / counterweight / drain stopper / sound maker in tubeshaped musical instrument / pool cue /
7gLPeNvy,play a game / for a collection / to hold something in place / to play Chinese checkers / to roll it around / to show the size of something next to it / to trade with someone /
83B7sVt3,stopping up a leak / worry stone for pocket / use as a marker in a garden / hitting a bit across the room /
8kN3iLw2,Use it as ammo for a slingshot / Use it to play miniature bowling / Use it as a ping pong ball /
9F61AuF9,crack marbles and make a window out of it / crack marble and add to planters to make it prettier / cracker marbles to make necklace / flatten marbles to make magnets / make a candle holder with marbles by stacking them in a circular shape / add marbles to a ball to make it appear as its made out of glass / paint with marbles add marbles to the paint and allow the marbles to add the paint to paper /
9MSJXmgK,a bowling ball for a doll / a shaker / a decoration in a vase / roller for paint /
AzETpMqz,slingshot ammo / work on stuttering if you have an issue / play marbles / glue a bunch together into some fancy artwork / make couture marble races / put it inside an old paint can to knock the paint loose and use the can later / melt it down and make a decorative plate / use it on contracting jobs to see if your foundation is level / use it to massage out planar tendonitis in your foot /
CYm8YuOS,play a game with it / use it to hold down a paper / use it to uncle a drain / block a leak with it / use it in a plant vase / use it to count or mesure small items / put it in your pocket to remind you of something / give it to a child as a gift /
d5tLcUi1,Drill holes in them and turn into a necklace / Drill holes in them and turn into a windchime / Use as mini billiards set / Use in marble racing / Use in blind baking /
D9R9pfOE,use as filler in vase / put on top of potted plant to hold soil in / hang in the window and be spycatcher / embed in wet concrete for decoration / make a stepping stone and push these into the top / use to show child how to count / use to show child how to divide and multiply / use to learn colors / show how gravity works /
DlaONCwB,Make jewelry / THrow it at your enemy / Use it to massage your neck / roll your foot on it to massage your foot / throw it to your dog as a toy / Put it in your nose so you can't smell stuff / put it in your ear so you can't hear stuff / use it to play baseball /
DRpYpM7a,slingshot ammo / put several marbles in mouth to practice speech / put marbles on floor to make burglar fall / put on bottom of vase / eyes for stuffed aNIMAL /
dypUeEVB,ball bearing / hand massager / leveller / decorate inside of a fish aquarium / for decorating a vase /
Eb6cYWOq,build a bathtub / build a chair / use as a weapon / decoration / trade for something else / plug a hole /
EeRO0blB,door stop / hold up a wobbly table leg / put it in someone shoe as a prank / use it in the bottom of a planter for drainage / stress relieved if you squeeze it in your hand /
EWQ2aLcj,piece of art / part of planet mobil / miniature bowling ball / weapon / glass eye / pet toy / grind it up to put in paint for different colors / part of a ball run / door stop / prism / stress relieved / prop in a play / bottle stopper / piece of a kaleidoscope / sex toy /
EYjGnOP1,fish tank ornament / hearing / place in mouth and talk to improve enunciation / place dozens in toilet tank to displace and therefore save water / plug up ant holes in ground /
fgsppHtU,eyes for snowman / as part of necklace / as a weapon / paperweight /
gnQcRpyT,a bullet for a slingshot / a sinker for fishing / a glass eye /
hfUtkxmi,Use it in a fishbone / play games with it / mount it in a ring / create a rule goldberg contraption / crush it into glass powder and heat it up to create a sheet of stained glass / use it to aerate a planter /
IAzmcoKm,use it as a spycatcher / use it as a Barbie pool ball / make jewelry with it / roll it around in your hand to distress / roll it on the body for a massage / swallow it for a reason to go to the hospital / use it as a cat toy /
JIhXJYMM,play catch / weapon / basketball / baseball / paperweight / massage ball / golf ball /
jqPfEgSW,fish tank decoration / use as mandala beads / dodge ball / massage aids / vase decorations /
