ID,Alternative Uses
0Wv0i16N,drill a hole and use as a tiny pot for tiny plants / drill to shape as a bowl and use to hold some icecream / cool it and use as cold pack on eyes / put it in fire and scrape off to make black color / sand it to make it shiny / Take a photo / Make a painting / Use as a reference for size / Tie a string and use it to throw in the water again and again / attract a bird /
1iCU2QmW,take several marbles and glue them into a pyramid for a decoration / I would tie decorative string around the marble for a necklace / paint eyes on the marble to make it look like an animal / rub it with cathie and give it to my cat / put it into a plastic jar to make a rattle / put it in a water bottle to use it to stir up flavourings /
2CLBZyT3,make magnets for your refrigerator / use them for sponge painting / make a marble top table / hang them on a bush or tree for colourful art / make a spycatcher /
2l6NOT6p,A weapon to throw at someone / A small foot massager to roll on the bottom of feet / A toy for a child / to glue onto a painting to make it abstract / to glue onto a pen cap to make a decoration / To make into a small spycatcher /
3U6xOhXV,put in a fishtank / fill a vase /
48DSufSQ,shape it into a bullet for a gun / ball for a tiny hamster / pendulum /
5CJmQcoS,use as pretend ice in a glass / decorate tops of soils in a planar / pie weight for baking / put in empty bottle for shaker toy for baby / cat toy /
5hrcoYFb,Make earrings / Make little pendants / candle fillers / fake eyeball / get a stick and play miniature pool / sting the marbles like a windchime /
6F8be1DQ,as a false eye / as a good luck charm / it could be ground up and used as a sparkling or shiny powder in an art project / as a part of some costume / as a gemstone /
7C4QmdR5,measuring gravity by dropping / measuring height by throwing / stirrer for sand or powder / toy for rollercoaster setup / trip trap for intruders / baseball for durable baseball bat / measure how deep a well is by waiting for splash sound and measuring time / dough roller /
7gLPeNvy,to play marbles with / to look like a beautiful rock / to paint / to mark your place like outside / to throw and play with / to play a game with / to add to your collection / as a reward / to decorate with / to learn how to count with /
83B7sVt3,start a marble collection / paint with it / juggle with it / use it to decorate a plant pot / glue it on furniture for a decoration / use it to count things / make a pendant / make a ring out of it / tie it to a key chain /
8kN3iLw2,Measure the time it takes to roll down various ramps of increasing steepness to calculate the gravitational force of the planet / Shine a light on it to reflect the light somewhere else / Throw it in a small cup of liquid to displace the liquid perhaps for an experiment on fluids /
9F61AuF9,paint with marbles add marbles to the paint and allow the marbles to add the paint to paper / add marbles to balls to make it look like they are made out of glass / make a stain glass effect with mashed marbles and add to a window / make a candle holder by stacking marbles together / flatten marbles to add magnets / make necklace from marbles / add marbles to planters to make it prettier / crack marbles and make plates out of it / add marbles to the top of a table to make it more unique and fun /
9MSJXmgK,bowling ball for a doll / set a trap to make someone fall / use as weapon with a slingshot / decoration for a vase / create a hair clip for kids / use as tile for floor or walls /
AzETpMqz,ball bearings / drop it in a clear thing of water to use as a fullness gauge /
CYm8YuOS,use it to mark a spot / put it in a bag and cary it around like a good luck charm / use it to roll out some dough / put it under a able leg to balance a wobbly table / roll your foot over it for a mini foot massage /
d5tLcUi1,Use as paper weight / Drill a hole and make a bracelet using string / Fill a box and use to roll heavy objects / Use as wheels on a toy car /
