responseID,responseID,ID,fluency,clean_response,elaboration,flexibility,originality,z_elaboration,z_flexibility,z_originality
101,101,3JALGThx,3,pouch,1.0,0.778905189237606,0.9760428291732096,-1.1468474841349299,0.18341252741871913,0.4295597076525835
253,253,3JALGThx,3,fill water,2.0,0.7434901568790686,0.9640055679958742,-0.49378155566920584,-0.14916165975255294,0.2771251309858648
156,156,3JALGThx,3,shaving cream storage,3.0,0.8155655321146102,0.9826551543297621,0.1592843727965182,0.5276811309401465,0.513295282645308
210,210,3JALGThx,3,Use bookmark,2.0,0.8854599114504382,0.9469761086285226,-0.49378155566920584,1.184042705316908,0.061471554039886
122,122,4ivPm3Ot,2,pump tire,2.0,0.7275678158715455,0.9235870246380367,-0.49378155566920584,-0.2986845957993493,-0.23471750958407653
88,88,4ivPm3Ot,2,Fill cement weight,3.0,0.7827258464278852,0.9673874901293307,0.1592843727965182,0.21929141485423728,0.3199523041391649
267,267,4ivPm3Ot,2,fill fragrance pop,3.0,0.8003899782153988,0.9490304040378676,0.1592843727965182,0.38517109588472437,0.08748624678922307
184,184,7i5oUdpb,3,fill water bowling ice,4.0,0.7019043955905385,0.9873727779535512,0.8123503012622423,-0.5396837018733873,0.5730371914874306
132,132,7i5oUdpb,3,target shooting,2.0,0.855475151825476,0.98030150004775,-0.49378155566920584,0.9024629241990785,0.48348964091229746
232,232,7i5oUdpb,3,Balloon drink stirrer,3.0,0.38015815525925134,0.921044686712426,0.1592843727965182,-3.5611264968506844,-0.2669125579198135
180,180,7i5oUdpb,3,fill confetti pop,3.0,0.651136193778705,0.9435665393665295,0.1592843727965182,-1.016435869732057,0.018294269821249088
196,196,8341gMzz,3,floating things,2.0,0.6892271044510117,0.9458796771279888,-0.49378155566920584,-0.6587331426187195,0.04758682817362276
68,68,8341gMzz,3,freeze water inside use drinks,5.0,0.7633549135981537,0.8989731723103958,1.4654162297279663,0.03738356918642809,-0.5464165002785384
159,159,8341gMzz,3,weights lift,2.0,0.7652670630271841,0.9431630575992357,-0.49378155566920584,0.05534011192431702,0.013184754335619338
37,37,8341gMzz,3,shower cap,2.0,0.7177940561703391,0.9477751499280256,-0.49378155566920584,-0.3904676599888268,0.07159026131345636
259,259,8SulpUFW,4,decorate,1.0,0.7183433998622759,0.8330282288189262,-1.1468474841349299,-0.3853089033915168,-1.3815142352483512
110,110,8SulpUFW,4,use hair tie,3.0,0.8168379243421668,0.8581810630884,0.1592843727965182,0.5396298652109107,-1.062989814505981
86,86,8SulpUFW,4,Left air squeaked toy,4.0,0.6736571609669567,0.8446969722044503,0.8123503012622423,-0.8049467969248671,-1.233746405673129
11,11,8SulpUFW,4,Phil sand use paperweight,4.0,0.8064936910594632,0.8181963180693185,0.8123503012622423,0.4424896186320917,-1.5693390238748528
136,136,8SulpUFW,4,Pop scare people,3.0,0.7765612500095139,0.8097747026630316,0.1592843727965182,0.16140114886992452,-1.6759866541285169
207,207,8vjxU3li,10,blow rice musical instrument,4.0,0.7459408701125805,0.998914043937361,0.8123503012622423,-0.1261475917891614,0.7191907033637512
98,98,8vjxU3li,10,carry b,2.0,0.8779778348905896,0.45325310129795104,-0.49378155566920584,1.1137802951331985,-6.190819270617195
92,92,8vjxU3li,10,Dip plaster globe decorated,4.0,0.6943444069097735,0.998914043937361,0.8123503012622423,-0.6106777663450901,0.7191907033637512
234,234,8vjxU3li,10,instead painting vase strap balloon outside,6.0,0.43759952556704707,0.998914043937361,2.1184821581936903,-3.0217081829912593,0.7191907033637512
142,142,8vjxU3li,10,store change,2.0,0.8813092053047665,0.9890507691913684,-0.49378155566920584,1.145064406254284,0.5942865338601571
203,203,8vjxU3li,10,Deflate use fill water,4.0,0.6689748789595964,0.9914623740896232,0.8123503012622423,-0.8489169990960685,0.6248260366870154
218,218,8vjxU3li,10,Pop use pieces artwork,4.0,0.8142363932455381,0.9954007685511334,0.8123503012622423,0.5151995023891887,0.6747001304399384
241,241,8vjxU3li,10,clown face paint ballot,4.0,0.7490466415605319,0.9814924657866703,0.8123503012622423,-0.09698202716718823,0.4985715067588828
149,149,8vjxU3li,10,use legs like resistance device strength training,7.0,0.8271385021573975,0.9818882889004457,2.7715480866594144,0.63636015362667,0.5035840364277464
146,146,8vjxU3li,10,head swim cap,3.0,0.7156378630097401,0.9914623740896232,0.1592843727965182,-0.41071595965182583,0.6248260366870154
265,265,8vjxU3li,10,pillow,1.0,0.7259084759953743,0.993976551792679,-1.1468474841349299,-0.3142670638590029,0.6566644763606356
235,235,8XFfLUrd,7,fill sand stress ball,4.0,0.7259598416886983,0.9847308227280621,0.8123503012622423,-0.3137847007897625,0.5395806335182367
137,137,8XFfLUrd,7,Transport mouse,2.0,0.7755950106645668,0.9914623740896232,-0.49378155566920584,0.1523274238622663,0.6248260366870154
32,32,8XFfLUrd,7,waterproof liner,2.0,0.7908261896508936,0.9914623740896232,-0.49378155566920584,0.2953598209459487,0.6248260366870154
192,192,8XFfLUrd,7,parachute,1.0,0.5525977060696083,0.998914043937361,-1.1468474841349299,-1.9417874866151383,0.7191907033637512
237,237,8XFfLUrd,7,carry water,2.0,0.7700302364952385,0.998914043937361,-0.49378155566920584,0.10006994665824176,0.7191907033637512
150,150,8XFfLUrd,7,bungee chord,2.0,0.754725543601854,0.984430052964331,-0.49378155566920584,-0.04365280212801743,0.5357718176312113
173,173,8XFfLUrd,7,Tie weight long line use buoy,6.0,0.7574669399345251,0.9959030278901497,2.1184821581936903,-0.01790899797665346,0.681060521611314
43,43,8XFfLUrd,7,cooking aid,2.0,0.852545318452568,0.994340461979475,-0.49378155566920584,0.8749495524004149,0.6612728747705172
183,183,a3O7LUxg,8,fill water freeze fort,4.0,0.7148858243933152,0.9914623740896232,0.8123503012622423,-0.41777817631301245,0.6248260366870154
238,238,a3O7LUxg,8,water bottle,2.0,0.7349296047176741,0.9879032447793474,-0.49378155566920584,-0.229551779066583,0.5797547898542621
49,49,a3O7LUxg,8,use gift bags,3.0,0.7598496773093324,0.5651752749976102,0.1592843727965182,0.004466724785551643,-4.773486131775793
164,164,a3O7LUxg,8,use practice holding gently,4.0,0.7877301394437971,0.9085647586781638,0.8123503012622423,0.26628554619610967,-0.4249528727977362
6,6,a3O7LUxg,8,deflated ones ears block noise,5.0,0.6973211063864858,0.998914043937361,1.4654162297279663,-0.5827242860574433,0.7191907033637512
280,280,a3O7LUxg,8,drawing,1.0,0.8067239568825809,0.8534804568519456,-1.1468474841349299,0.4446519904797692,-1.122516222646066
42,42,a3O7LUxg,8,fill water throw,3.0,0.7507558101545705,0.7112203046475222,0.1592843727965182,-0.08093162941104957,-2.9240361662903074
256,256,a3O7LUxg,8,fill juice,2.0,0.7892444846193166,0.998914043937361,-0.49378155566920584,0.2805064033379705,0.7191907033637512
158,158,a3O7LUxg,8,condom,1.0,0.7149932553100995,0.998914043937361,-1.1468474841349299,-0.41676931799926303,0.7191907033637512
233,233,AOqI6isn,3,filler vase flowers place,4.0,0.6491410978415281,0.9868036001208895,0.8123503012622423,-1.035171343496925,0.5658293739705007
40,40,AOqI6isn,3,light cover,2.0,0.775105844059837,0.9288792046625662,-0.49378155566920584,0.1477337760487511,-0.16769967140655448
276,276,AOqI6isn,3,loud bang noise toy,4.0,0.7967727782634288,0.9914623740896232,0.8123503012622423,0.35120282722175994,0.6248260366870154
45,45,AOqI6isn,3,punching toy,2.0,0.6933909707140262,0.9431775616475896,-0.49378155566920584,-0.6196312600087457,0.013368427219193856
31,31,BFJVCx5x,4,rubber gloves,2.0,0.7369710971453013,0.9733311501884716,-0.49378155566920584,-0.2103806068405961,0.39522019868912694
20,20,BFJVCx5x,4,marker,1.0,0.8053317909803459,0.9720368766989332,-1.1468474841349299,0.431578489977044,0.37883008896547876
288,288,BFJVCx5x,4,butt cushion,2.0,0.7050703248550172,0.981878563189948,-0.49378155566920584,-0.5099532094340117,0.5034608743113276
29,29,BFJVCx5x,4,fashion accessory,2.0,0.8593300456775996,0.9736512744801447,-0.49378155566920584,0.9386633200231559,0.3992741117980155
54,54,BFJVCx5x,4,create hoax ufo video,4.0,0.7567870727124679,0.9529577238058706,0.8123503012622423,-0.024293470154201566,0.1372200954987259
97,97,bnvwtbLQ,8,capture rain water,3.0,0.763623276311371,0.9914623740896232,0.1592843727965182,0.03990369991260546,0.6248260366870154
48,48,bnvwtbLQ,8,drums cans,2.0,0.8927151490700405,0.998914043937361,-0.49378155566920584,1.2521749246989404,0.7191907033637512
204,204,bnvwtbLQ,8,Detach string use thread,4.0,0.8267767052180666,0.994763003898433,0.8123503012622423,0.6329626041962223,0.6666237596264158
219,219,bnvwtbLQ,8,Sun shield,2.0,0.8040193652311655,0.9386427751116735,-0.49378155566920584,0.41925381037948,-0.04405811322821765
249,249,bnvwtbLQ,8,slingshot,1.0,0.7196611387043754,0.9524800235776021,-1.1468474841349299,-0.3729343297958043,0.13117071009477563
262,262,bnvwtbLQ,8,sit,1.0,0.8902431080247032,0.9870444497188126,-1.1468474841349299,1.228960572302369,0.5688793872549905
222,222,bnvwtbLQ,8,murder weapon suffocation,3.0,0.8892763781928777,0.9423422426873547,0.1592843727965182,1.2198822412485204,0.0027903156197842975
130,130,bnvwtbLQ,8,store liquor,2.0,0.8764362238167215,0.9146611607254302,-0.49378155566920584,1.0993033903929912,-0.3477507209481993
261,261,bnvwtbLQ,8,pop,1.0,0.7993015448939924,0.9383829945875877,-1.1468474841349299,0.37494987616389586,-0.04734785942811242
193,193,dAw8I6QL,3,gender reveal,2.0,0.9478919422550501,0.9456174423810096,-0.49378155566920584,1.7703271307577984,0.044266002775371904
182,182,dAw8I6QL,3,tie long stick pool float,5.0,0.6650671698739385,0.9152811472632381,1.4654162297279663,-0.8856133702784363,-0.3398994843556309
89,89,dAw8I6QL,3,Fill paint poke holes paint art,6.0,0.7422021844475943,0.9218842584382291,2.1184821581936903,-0.1612567040309271,-0.2562805911693449
286,286,dAw8I6QL,3,mud covers shoes,3.0,0.845341765971549,0.9053867200583285,0.1592843727965182,0.8073026959224491,-0.46519815488542654
12,12,DGsLkZMG,2,Blow little bit use fishing bomber,6.0,0.7321324271087819,0.8906707492670096,2.1184821581936903,-0.255819411981134,-0.6515547309177051
185,185,DGsLkZMG,2,hair tie,2.0,0.8199356533975357,0.9625889684276258,-0.49378155566920584,0.5687199056275414,0.25918593765019166
224,224,DGsLkZMG,2,use mulch popped,3.0,0.8237662903650722,0.9555438420041005,0.1592843727965182,0.6046925107893595,0.16996955793454294
96,96,DtX7BDmn,6,PPE blood,2.0,0.8875420048758252,0.9652984127890923,-0.49378155566920584,1.2035951519037824,0.29349714832823504
271,271,DtX7BDmn,6,fill confetti blow use confetti gun,6.0,0.6438233131065103,0.9373660738600902,2.1184821581936903,-1.085109401378552,-0.060225695865819835
202,202,DtX7BDmn,6,Draw pictures balloons release create soaring art work,8.0,0.6288133513246976,0.9631588173485337,3.4246140151251385,-1.2260644000503187,0.26640225353325514
106,106,DtX7BDmn,6,Pop noisemaker,2.0,0.7654809864365669,0.9352641675516485,-0.49378155566920584,0.05734901603238466,-0.0868433120826787
23,23,DtX7BDmn,6,flag,1.0,0.7922719468218651,0.9853525840448158,-1.1468474841349299,0.3089365843698843,0.5474543451301066
73,73,DtX7BDmn,6,wear hat,2.0,0.8389870744552055,0.9462891969515969,-0.49378155566920584,0.7476272918630584,0.05277280694642359
104,104,DtX7BDmn,6,whoopie cushion,2.0,0.7453529229383756,0.9836249544669765,-0.49378155566920584,-0.13166886455212945,0.5255764046704697
231,231,fXt6vbKa,5,Frozen water balloon ice,4.0,0.48521883197478854,0.9919849834528155,0.8123503012622423,-2.5745265466204934,0.6314441316063374
44,44,fXt6vbKa,5,sky decoration object requires helium,5.0,0.5210047093704371,0.9890507691913684,1.4654162297279663,-2.238469841473941,0.5942865338601571
78,78,fXt6vbKa,5,trip wire type device,4.0,0.6923861214457483,0.991462374089623,0.8123503012622423,-0.6290675616685582,0.6248260366870125
161,161,fXt6vbKa,5,decorate cake hole cut,4.0,0.6478912177869918,0.724397626614352,0.8123503012622423,-1.046908671278832,-2.757164361647832
111,111,fXt6vbKa,5,cut lip use ring,4.0,0.7782590444351103,0.9933986729090836,0.8123503012622423,0.1773447345021571,0.6493464725649416
22,22,fXt6vbKa,5,celebration,1.0,0.747241670558233,0.7129447362680843,-1.1468474841349299,-0.11393208266565719,-2.902198723353867
84,84,gTvYcIjH,7,hot air ride,3.0,0.6749097148004235,0.8930234859527051,0.1592843727965182,-0.7931843603178296,-0.6217607092205173
179,179,gTvYcIjH,7,gasket,1.0,0.8488675925795371,0.8122727758646786,-1.1468474841349299,0.8404128991374925,-1.6443521547714277
80,80,gTvYcIjH,7,floatation device,2.0,0.7373723473492618,0.8555318572002356,-0.49378155566920584,-0.20661256113945153,-1.0965381916755057
62,62,gTvYcIjH,7,hastily way transport water ranking,5.0,0.817941582861028,0.8376672663128674,1.4654162297279663,0.5499940611576758,-1.3227675065604811
230,230,gTvYcIjH,7,Surprise love,2.0,0.8397821164867492,0.9219500483817186,-0.49378155566920584,0.7550933434179681,-0.25544745628616805
24,24,gTvYcIjH,7,bag,1.0,0.7420145743570364,0.9398843669152578,-1.1468474841349299,-0.16301850598950643,-0.028335141184660507
263,263,gTvYcIjH,7,lean,1.0,0.970162397534461,0.8822016070610816,-1.1468474841349299,1.9794637055179438,-0.758804219640409
8,8,gTvYcIjH,7,waterproof hat,2.0,0.8008054033574934,0.9650049720843552,-0.49378155566920584,0.3890722550750903,0.2897811444180091
2,2,hNMu9RSE,7,secret message inside let float away,6.0,0.7450800379589073,0.9930697725861984,2.1184821581936903,-0.13423146281038137,0.6451814236600512
71,71,hNMu9RSE,7,recycle shirt,2.0,0.8299879052578063,0.941107215512896,-0.49378155566920584,0.6631182237717992,-0.012849524850319646
76,76,hNMu9RSE,7,pass halloween,2.0,0.7120537873886406,0.9203524438784095,-0.49378155566920584,-0.44437316556315126,-0.27567881643986253
26,26,hNMu9RSE,7,float,1.0,0.6053896514974422,0.9836949936075049,-1.1468474841349299,-1.4460308214198423,0.5264633495144222
141,141,hNMu9RSE,7,brink sibling line,3.0,0.9027304051328938,0.9669180283620363,0.1592843727965182,1.3462258240654819,0.31400724697836613
34,34,hNMu9RSE,7,canteen,1.0,0.9278233603936764,0.998914043937361,-1.1468474841349299,1.581867828147065,0.7191907033637512
103,103,hNMu9RSE,7,,,,0.9972478975389014,,,0.6980913588224713
28,28,hNMu9RSE,7,hat,1.0,0.8120026468212344,0.998914043937361,-1.1468474841349299,0.49422291838133964,0.7191907033637512
152,152,ieEtPuLP,5,ear cover,2.0,0.78476963751827,0.9422047606514365,-0.49378155566920584,0.23848417327815405,0.0010493036374309367
117,117,ieEtPuLP,5,food holder,2.0,0.7600967035488786,0.9422047606514365,-0.49378155566920584,0.006786489737206377,0.0010493036374309367
215,215,ieEtPuLP,5,use hold breadcrumbs,3.0,0.915217418058932,0.96026668099517,0.1592843727965182,1.4634884071412586,0.22977751189206594
228,228,ieEtPuLP,5,let pets play,3.0,0.9019268528189127,0.949078161107226,0.1592843727965182,1.3386798544623386,0.08809102129259497
268,268,ieEtPuLP,5,balloon poms poms,3.0,0.45252060213618184,0.9085168113770414,0.1592843727965182,-2.881587884315207,-0.42556005631242616
225,225,ieEtPuLP,5,use scrub windows remove dirty,5.0,0.8954660501009883,0.8744888492731615,1.4654162297279663,1.2780079852223358,-0.8564751890589523
38,38,ieEtPuLP,5,blackout glasses,2.0,0.8374256302085303,0.9685289573549779,-0.49378155566920584,0.7329641384909548,0.3344073426032374
145,145,inJfUF1A,3,water bottle,2.0,0.7349296047176741,0.7998413287661171,-0.49378155566920584,-0.229551779066583,-1.8017785284212688
147,147,inJfUF1A,3,stretch drum,2.0,0.7577791566729654,0.8223754839064009,-0.49378155566920584,-0.014977044478578727,-1.5164159074108554
